riddle_id,main_category,riddle_text,Answer,Difficulty
107,Bathroom Riddles,Why didn't the skeleton use a towel?,Because he always comes out bone dry.,Medium
108,Bathroom Riddles,Why do you never bring a Pokemon into the bathroom with you?,They might Pikachu (Peek at u),Medium
109,Bathroom Riddles,"Which rock singer really, REALLY needs a shower?",Mud-donna.,Easy
110,Bathroom Riddles,Why did the toilet paper roll down the hill?,To get to the bottom.,Hard
111,Bathroom Riddles,What does the Easter Bunny do after it takes a shower?,He uses a Hare dryer,Hard
112,Bathroom Riddles,Imagine you are on a sinking raft in the middle of the Pacific with great white sharks surrounding you. How do you stop this predicament?,Stop imagining!,Hard
113,Bathroom Riddles,Why did the prisoner take a shower before he broke out of jail?,He wanted to make a clean getaway,Medium
114,Bathroom Riddles,Why can't the toilet paper cross the road?,Because it got stuck in the crack.,Easy
115,Bathroom Riddles,"A farmer has never taken a shower in his life. He gets dirty every day, wears no cleansing scents, and is always clean at the end of the day. How is this possible?",The farmer takes a bath every day.,Medium
116,Bathroom Riddles,The more you dry yourself with me the more I get wet. What am I?,A towel.,Easy
117,Bathroom Riddles,How can you make a needle float?,Take a thin piece of tissue paper and place the tissue paper under the needle before putting the needle in the water. The tissue paper will eventually sink and the needle will remain floating.,Hard
118,Bathroom Riddles,"When you are wet and it is dry and if you use it, it becomes wet but you're completely dry. What is it?",The towel.,Medium
119,Bathroom Riddles,"Each day many people come and visit me, however, they usually only stay for a few minutes. I am considered by many to be very dirty yet few people would want to live without me. What am I?",A toilet.,Medium
120,Bathroom Riddles,Why do criminals shower so often?,They like to make a clean getaway.,Medium
121,Bathroom Riddles,What do steel workers sing in the shower?,Heavy Metal.,Hard
122,Bathroom Riddles,What did one toilet say to the other?,You look a bit flushed.,Hard
123,Bathroom Riddles,What do you call a person who crosses the road twice without taking a shower?,A dirty double-crosser.,Hard
124,Bathroom Riddles,What do you call a ghost who ran out of toilet paper?,Sheet out of luck!,Medium
125,Bathroom Riddles,"A woman has three children: MoroEbi, MoroPet, and Laura. MoroPet is in the sitting room playing, Moroebi is in the bathroom taking his bath, and the woman is in the kitchen preparing dinner. In what room is Laura.",Laura is in WHAT ROOM. Didn't guess it right?,Medium
126,Bathroom Riddles,How did the chimp fix the leaky faucet?,With a monkey wrench.,Hard
127,Bathroom Riddles,What do fathers sing in the shower?,Pop.,Hard
128,Bathroom Riddles,What does a toilet with a funny accent have?,Irritable vowel syndrome!,Medium
129,Bathroom Riddles,What kind of sandwich sinks to the bottom of the tub?,A submarine sandwich!,Medium
130,Bathroom Riddles,Why did the shower bar turn red?,Its towel fell off.,Easy
131,Bathroom Riddles,What does a newspaper reporter use to dry himself after his shower?,Paper towels.,Medium
132,Bathroom Riddles,What do bumblebees sing in the shower?,BeeBop.,Hard
133,Bathroom Riddles,What do computer programmers sing in the shower?,Disc-o.,Easy
134,Bathroom Riddles,"On a fine sunny day, a ship was in the harbor. All of a sudden the ship began to sink. There was no storm and nothing wrong with the ship yet it sank right in front of the spectators' eyes. What caused the ship to sink?",The "Submarine" Captain ordered the crew to dive.,Hard
135,Bathroom Riddles,What did the faucet say to the shower?,"""You're a big drip.""",Hard
136,Bathroom Riddles,What do angels sing in the shower?,Soul.,Easy
137,Bathroom Riddles,Why did Silly Sarah race to the bathroom?,Her boyfriend told her he'd left a ring in the tub.,Easy
138,Bathroom Riddles,"Four men were in a boat on the lake. The boat turns over, and all four men sink to the bottom of the lake, yet not a single man got wet! Why?",Because they were all married and not single.,Hard
139,Bathroom Riddles,"If someone robbed you in the shower, what would you be?",An eye wetness.,Medium
140,Bathroom Riddles,What do goblins sing in the shower?,Rhythm and boos.,Hard
141,Bear Riddles,Why did Tigger go to the bathroom?,"He wanted to find his friend, Pooh!",Easy
142,Bear Riddles,What do you call a bear with no teeth?,A gummy bear.,Medium
143,Bear Riddles,Why couldn't Goldilocks sleep?,Because of night-bears.,Easy
144,Bear Riddles,Why are teddy bears never hungry?,Because they are stuffed.,Hard
145,Bear Riddles,A man builds a house with all 4 sides facing south. A bear walks past the house. What color is the bear?,"White, the house is built directly on the North Pole.",Medium
146,Bear Riddles,What do you call a bear with no ear?,A b!,Medium
147,Bear Riddles,When are boys like bears?,When bare-footed.,Hard
148,Bear Riddles,What did the panda ghost say?,Bambooooooo.,Hard
149,Bear Riddles,What type of Martial Arts does Winnie the Pooh do?,Kung Pooh.,Medium
150,Bear Riddles,How do you spell the word 'Panda' in two letters?,P and A P(and)a.,Easy
151,Bear Riddles,What do you call a little bear who never takes a bath?,Winnie-the-Phew!,Medium
152,Bear Riddles,What did the zombie bring to bed?,A deaddy bear.,Easy
153,Bear Riddles,What do you call a polar bear at the beach?,Sandy Claws!,Hard
154,Bear Riddles,What did the koala say to the bear on the phone?,I��ll koala you later.,Hard
155,Bear Riddles,What do you call a bear which is fast asleep?,Bearly awake!,Hard
156,Bear Riddles,Don't look a gift horse in the mouth. What is the contradictory proverb?,Beware of Greeks bearing gifts.,Easy
157,Bear Riddles,What kind of animal can do Kung fu?,Kung fu pandas!,Medium
158,Bear Riddles,"What do kids, worms, bears, fish, and rings all have in common?",They are GUMMIES!,Easy
159,Bear Riddles,Why kind of entertainment does Yosemite National Park have?,Bear-itones.,Hard
160,Bear Riddles,How are people like animals?,"We have bare (bear) feet, frogs in our throats, calves on our legs, and bulls on our tongues.",Medium
161,Beast Riddles,In a tunnel of darkness lies a beast of iron. It can only attack when pulled back. What is it?,A bullet.,Medium
162,Beast Riddles,"Face with a tree, skin like the sea. A great beast I am, yet vermin frightens me. What am I?",An Elephant.,Easy
163,Beast Riddles,"Stronger than any beast, Rougher than any sea. Steadier than a favorable wind, and of me, none shall be free. What am I?",I am Earth.,Medium
164,Beast Riddles,"This thing all things devours: Birds, beasts, trees, flowers; Gnaws iron, bites steel; Grinds hard stones to meal; Slays king, ruins town, And beats high mountain down. What am I?",Time!,Hard
165,Beast Riddles,"I'm alive and I die. When cut, I bleed I do not fear the seasons. I make my home above yet below the land. I'm a friend to man and beast, yet hunted by both. My bones are always within sight. What am I?",A Tree.,Hard
166,Beast Riddles,My head and the point are made from the same. I am held by what's taken apart from the grain. I am atop of a great ocean beast. My swing will let fire and lead release. What am I?,A hammer.,Hard
167,Beast Riddles,"As a whole, I am both safe and secure. Behead me, and I become a place of meeting. Behead me again, and I am the partner of ready. Restore me, and I become the domain of beasts. What am I?",Stable.,Hard
168,Beast Riddles,"Where is there no south, west, nor east, and weather is not fit for man or beast?",The South Pole.,Medium
169,Bird Riddles,"There are 30 cows in a field, and 28 chickens. How many didn't?","10. Listen closely: 30 cows and twenty-eight chickens. Say EIGHT and ATE. They sound the same. Therefore, it means 20 ATE chickens. 30-20=10, so 10 cows didn't eat any chickens.",Easy
170,Bird Riddles,"It has a long neck, a name of a bird, feeds on ships cargo, and is not alive. What is it?",A crane.,Hard
171,Bird Riddles,"Which bird does not belong in this group? Finch, gull, eagle, ostrich, or sparrow?",The Ostrich. It's the only bird that doesn't fly.,Medium
172,Bird Riddles,There are 2 ducks in front of 2 other ducks. There are 2 ducks behind 2 other ducks. There are 2 ducks beside 2 other ducks. How many ducks are there?,"Just four, in a square formation.",Hard
173,Bird Riddles,Why did the turkey cross the road?,To prove he wasn't chicken.,Hard
174,Bird Riddles,"If a chicken says, ""All chickens are liars"". Is the chicken telling the truth?",Answer: Chickens cannot talk.,Medium
175,Bird Riddles,I'm the part of the bird that's not in the sky. I can swim in the ocean and yet remain dry. What am I?,A shadow.,Medium
176,Bird Riddles,Why did the scarecrow win so many awards?,He was out-standing in his field!,Easy
177,Bird Riddles,What bird is always out of breath?,A puffin.,Easy
178,Bird Riddles,"If it takes 5 microwaves and 5 minutes to cook 5 chickens, how long does it take 100 microwaves to cook 100 chickens?",5 minutes. We can assume that one chicken is placed in each microwave and that each chicken takes 5 minutes to cook.,Easy
179,Bird Riddles,"I'm like a doll, But I'm not for playing; I stand up straight, but if windy I may be laying; I'm well-known and famous for having no brain; I work outside both day and night in sunshine or in rain. What am I?",A Scarecrow.,Medium
180,Bird Riddles,"What was never scared but became petrified, can't make a bird but can make a bat, can't live in a house but would die to have one. What is it?",A tree.,Easy
181,Bird Riddles,Why do chickens lay eggs?,"Because if they drop them, they will break.",Easy
182,Bird Riddles,"What's 3/7 chicken, 2/3 cat, and 2/4 goat?","Chicago. The first three words out of seven of chicken is CHI, the first two words out of 3 of cat is CA, and the first two words out of goat is GO. Therefore making, (CHI)(CA)(GO).",Hard
183,Bird Riddles,"If there are fifteen crows on a fence and the farmer shoots a third of them, how many crows are left?",None. The rest of the crows flew away when they heard the gunshot.,Medium
184,Bird Riddles,"Forward and forward I go, never looking back. My limit no one knows, more of me do they lack. Like a river, I do flow, and as an eagle, I fly. Now can you guess, what am I?",Time. I am time!,Hard
185,Bird Riddles,"Even if they are starving, natives living in the Arctic will never eat a penguin's egg. Why not?",Penguins only live in Antarctica.,Hard
186,Bird Riddles,"If there is a Yellow house on Bluebird Lane, a Green house on Orange Street, a Pink house on Kitten Road, a Black house on Whitehorse Pike and a Purple house on Firebird hill, where is the White house?","Washington, D.C.",Medium
187,Bird Riddles,What bird can be heard at mealtimes?,A swallow.,Medium
188,Bird Riddles,There are ten birds sitting on a fence. You shoot one. How many are left?,None are left. All the others are scared away because of the gunshot.,Easy
189,Bird Riddles,What did the scientist get when he crossed a chicken and a cow?,Roost beef.,Hard
190,Bird Riddles,What do you get if you cross a hen with a guitar?,A chicken that plucks itself.,Easy
191,Bird Riddles,What do you call a sticky crow?,Vel-Crow (Velcro).,Medium
192,Bird Riddles,"Inside napper, bird chaser, quick stoker, small animal killer, fish eater. What is it?",A cat.,Hard
193,Bird Riddles,What do you call a chicken with bad sunburn?,Fried Chicken.,Easy
194,Bird Riddles,Where do penguins keep their money?,In a snow bank!,Medium
195,Bird Riddles,What happened when the rubber duckie fell into the bathtub?,It quacked up.,Hard
196,Bird Riddles,What do you call a crate of ducks?,A box of quakers!,Easy
197,Bird Riddles,How does a penguin build houses?,Igloos it together.,Hard
198,Bird Riddles,"White bird, featherless, flyin' out o' paradise, flyin' over sea and land, dyin' in my hand. What is it?",A snowflake!,Medium
199,Bird Riddles,"Why did the chicken cross the road twice, and jump in the mud?",He was a dirty double-crosser.,Easy
200,Bird Riddles,What do you call a tavern of blackbirds?,A crowbar.,Easy
201,Bird Riddles,What bird is very rude?,Mocking bird.,Medium
202,Bird Riddles,What kind of bird writes?,A pen-guin.,Hard
203,Bird Riddles,I can't see yet I know you're there. I'm not a cow but I'm leather. I'm a rare find but follow paths. I can fly but I'm not a bird. What am I?,A bat.,Medium
204,Bird Riddles,"I make the leaves green, I make the dirt brown, I make the bluebirds blue, I make all of your dreams come true. What am I?",A box of crayons.,Easy
205,Bird Riddles,Why do birds fly south?,Because it's too far to walk.,Hard
206,Bird Riddles,"A mouse, a squirrel, a duck, a chicken, and an elephant are sitting on the side of the road. Someone offers them a lift, but one prefers to stay. Who preferred to stay?","The Elephant Stayed. If you didn't know, elephants are scared of mice.",Medium
207,Bird Riddles,Why did the sheriff arrest the chicken?,It used fowl language,Medium
208,Bird Riddles,"A duck arrives near a lake. He sees a sign where it is written ""No swimming allowed."", but the duck jumps into the water. Why?",Because ducks can't read.,Easy
209,Bird Riddles,Why was the chicken forbidden from sending e-mails?,Because he kept using fowl language.,Medium
210,Bird Riddles,"They can trickle down, They can tickle too. Or make you sneeze, Or comfort you. Their rustling sound, you've rarely heard, Unless you're a pillow or a bird! What are they?",They are feathers.,Hard
211,Bird Riddles,Why did Mama Duck scold her goslings?,For eating quackers in bed.,Easy
212,Bird Riddles,How do chickens like to dance?,Chick to chick,Easy
213,Bird Riddles,Under no circumstances compute the number of your barnyard fowl previous to their incubation. What is the proverb?,Do not count your chickens before they hatch.,Hard
214,Bird Riddles,"I have a house with no doors no windows, nothing. If I want to get out I break the wall. Who am I?",Chicken as if it wants to come out breaks the wall.,Medium
215,Bird Riddles,What time does a duck get up?,At the quack of dawn.,Easy
216,Bird Riddles,A feathered Biped in the terminal part of the arm equals in value a pair of feathered bipeds in densely branched shrubbery. What is the proverb?,A bird in the hand is worth two in the bush.,Easy
217,Bird Riddles,Why did the duck get fired from his Easter job?,He kept quacking the eggs.,Easy
218,Bird Riddles,"This thing all things devours: Birds, beasts, trees, flowers; Gnaws iron, bites steel; Grinds hard stones to meal; Slays king, ruins town, And beats high mountain down. What am I?",Time!,Hard
219,Bird Riddles,What do you call two birds that are in love?,Tweet-hearts,Easy
220,Bird Riddles,What do you get when you cross a parrot with a centipede?,A walkie-talkie.,Easy
221,Bird Riddles,Why did the eagle not fly over the sea?,Because if it flew over the sea it will be a seagull.,Medium
222,Bird Riddles,Birds of a feather flock together. What is the contradictory proverb?,Opposites attract.,Hard
223,Bird Riddles,"How did the chicken manage to pay for, 'A de Luxe' roost?",By Higher Perchase.,Hard
224,Bird Riddles,Why was the Easter egg hiding?,It was a little chicken!,Easy
225,Bird Riddles,Why are the rates at the bird hotel so much higher than other 4-star hotels?,Toucan stay for one!,Easy
226,Bird Riddles,What does a chicken say instead of good?,EGGcelent,Easy
227,Bird Riddles,"Twenty-seven ducks are going to the pond. Five of them got lost, thirteen of them are staying home, and nine of them are at the pond. Where are the rest of them?",There aren't any anywhere else.,Easy
228,Bird Riddles,"A fast-food restaurant sells chicken in orders of 6,9 and 20. What's the largest number of pieces of chicken you cannot order from the restaurant?",43 is the last number that doesn't fall into these categories.,Hard
229,Bird Riddles,Can one bird change a light bulb?,"No, but toucan!",Easy
230,Bird Riddles,Why does a chicken coop have two doors?,"Because, if it had four it would be a sedan.",Hard
231,Bird Riddles,What did the parrot say on the 4th of July?,"""Poly wants a firecracker!""",Easy
232,Bird Riddles,What does the cow say when he agrees with the duck?,The feeling is mootual.,Medium
233,Bird Riddles,"What animal would you get crossed a duck, a beaver, and an otter?",A platypus.,Easy
234,Bird Riddles,What kind of can never needs a can-opener?,A toucan!,Easy
235,Bird Riddles,Why did the woolly mammoth cross the road?,Because there were no chickens in the ice age!,Easy
236,Bird Riddles,"There are 10 birds on a branch, a man shot 5 of them. How many were left?","Zero, because when birds see someone coming or hear something they fly away.",Hard
237,Bird Riddles,"NASA was considering sending canaries into space to study them under zero gravity. The project was scrapped when someone realized that in spite of having sufficient water supplies, they could die of dehydration within a few hours. Why?","Birds, unlike humans, need gravity to swallow. Humans can swallow even while hanging upside down.",Easy
238,Bird Riddles,What are the freedom of birds and the pen of old men?,"Feathers. Feathers make up a bird's wings, giving it flight or freedom. Quill pens were used by men in older times.",Hard
239,Bird Riddles,What do you get when you cross Santa Claus and a duck?,A Christmas quacker.,Hard
240,Bird Riddles,Why don't chickens play baseball?,Because they hit fowl balls.,Hard
241,Bird Riddles,Why did the chicken cross the playground?,To get to the other slide!,Easy
242,Bird Riddles,In what place did the rooster crow when all the world heard him?,In Noah's Ark.,Medium
243,Bird Riddles,A bird has a head 9cm long. The tail is equal to the size of the head plus half of the size of the body. The body is the size of the head plus the tail. How long is the bird?,72cm. Th head is 9cm. The tail is 18 + 9= 27cm. The body is 9 + 18 + 9= 36cm. 9 + 27 + 36= 72cm.,Hard
244,Bird Riddles,"A large truck is crossing a bridge 1 mile long. The bridge can only hold 14000 lbs, which is the exact weight of the truck. The truck makes it halfway across the bridge and stops. A bird lands on the truck. Does the bridge collapse?","No, it does not collapse. Because it has driven a half-mile - you would subtract the gas used from the total weight of the truck.",Medium
245,Bird Riddles,What kind of can never needs a can-opener?,A pelican!,Medium
246,Bird Riddles,"A great banquet was prepared for a Roman emperor and his courtiers. 22 Dormice, 40 Larks' Tongues, 30 Flamingos, and 40 Roast Parrots were served. How many portions of Boiled Ostrich were served?","42. Each vowel is worth 2 and each consonant 4, so Dormice gives 22, etc.",Hard
247,Black Riddles,"I am white when I am dirty, and black when I am clean. What am I?",A,Easy
248,Black Riddles,"What is black when you buy it, red when you use it, and gray when you throw it away?",Charcoal.,Easy
249,Black Riddles,When is it bad luck to see a,When you are a mouse.,Medium
250,Black Riddles,Why is Santa so good at Karate?,Because he has a black belt.,Hard
251,Black Riddles,"I'm clean when I'm black, Dirty when white; Get too close, And you might sneeze. What am I?",A Chalkboard.,Medium
252,Black Riddles,"I am white, black, and read all over. What am I?",Newspaper!,Hard
253,Black Riddles,"Pronounced as one letter, And written with three, Two letters there are, And two only in me. I'm double, I'm single, I'm black, blue, and gray, I'm read from both ends, And the same either way. What am I?",An eye.,Easy
254,Black Riddles,"Take one out and scratch my head, I am now black but once was red. What am I?",A Match.,Hard
255,Black Riddles,What do you get when you cross a black cat and a lemon?,A Sour Puss.,Medium
