riddle_id,ques&ans
25,"Category: Animal Riddles</br>Question: Use all letters of this sentence once each only to spell out three animals. 'TALL ELEPHANT OR APEMAN' What are the three animals?</br>Answer: PANTHER, ANTELOPE, LLAMA</br>Difficulty: Hard"
26,"Category: Animal Riddles</br>Question: Why did Tigger go to the bathroom?</br>Answer: He wanted to find his friend, Pooh!</br>Difficulty: Medium"
27,Category: Animal Riddles</br>Question: What do you call a bear with no teeth?</br>Answer: A gummy bear.</br>Difficulty: Hard
28,Category: Animal Riddles</br>Question: Why couldn't Goldilocks sleep?</br>Answer: Because of night-bears.</br>Difficulty: Medium
29,Category: Animal Riddles</br>Question: Why are teddy bears never hungry?</br>Answer: Because they are stuffed.</br>Difficulty: Medium
30,"Category: Animal Riddles</br>Question: A man builds a house with all 4 sides facing south. A bear walks past the house. What color is the bear?</br>Answer: White, the house is built directly on the North Pole.</br>Difficulty: Easy"
31,"Category: Animal Riddles</br>Question: There are 30 cows in a field, and 28 chickens. How many didn't?</br>Answer: 10. Listen closely: 30 cows, and twenty-eight chickens. Say EIGHT and ATE. They sound the same. Therefore, it means 20 ATE chickens. 30-20=10, so 10 cows didn't eat any chickens.</br>Difficulty: Medium"
32,Category: Animal Riddles</br>Question: There are two bodies on the floor. They are surrounded by water and broken glass. How did they die?</br>Answer: The bodies were goldfish because their fishbowl got knocked over onto the floor and broke.</br>Difficulty: Easy
33,"Category: Animal Riddles</br>Question: It has a long neck, a name of a bird, feeds on ships cargo, and is not alive. What is it?</br>Answer: A crane.</br>Difficulty: Hard"
34,"Category: Animal Riddles</br>Question: Which bird does not belong in this group? Finch, gull, eagle, ostrich, or sparrow?</br>Answer: The Ostrich. It's the only bird that doesn't fly.</br>Difficulty: Easy"
35,"Category: Animal Riddles</br>Question: There are 2 ducks in front of 2 other ducks. There are 2 ducks behind 2 other ducks. There are 2 ducks beside 2 other ducks. How many ducks are there?</br>Answer: Just four, in a square formation.</br>Difficulty: Easy"
36,"Category: Animal Riddles</br>Question: There are 30 cows in a field, and 28 chickens. How many didn't?</br>Answer: 10. Listen closely: 30 cows, and twenty-eight chickens. Say EIGHT and ATE. They sound the same. Therefore, it means 20 ATE chickens. 30-20=10, so 10 cows didn't eat any chickens.</br>Difficulty: Medium"
37,"Category: Animal Riddles</br>Question: If a rooster laid a brown egg and a white egg, what kind of chicks would hatch?</br>Answer: Roosters don't lay eggs.</br>Difficulty: Easy"
38,Category: Animal Riddles</br>Question: Why did the turkey cross the road?</br>Answer: To prove he wasn't chicken.</br>Difficulty: Easy
39,"Category: Animal Riddles</br>Question: If a chicken says, ""All chickens are liars"". Is the chicken telling the truth?</br>Answer: Answer: Chickens cannot talk.</br>Difficulty: Easy"
40,"Category: Animal Riddles</br>Question: If it takes 5 microwaves 5 minutes to cook 5 chickens, how long does it take 100 microwaves to cook 100 chickens?</br>Answer: 5 minutes. We can assume that one chicken is placed in each microwave and that each chicken takes 5 minutes to cook.</br>Difficulty: Hard"
41,"Category: Animal Riddles</br>Question: If there are four sheep, two dogs, and one herds-men, how many feet are there?</br>Answer: Two. Sheep have hooves; dogs have paws; only people have feet.</br>Difficulty: Hard"
42,"Category: Animal Riddles</br>Question: All of Mrs. Smith's pets are dogs except one, and all her pets are cats except one. How many cats and dogs does she have?</br>Answer: Mrs. Smith has one cat and one dog.</br>Difficulty: Easy"
43,Category: Animal Riddles</br>Question: How can you tell the difference between dogs and trees?</br>Answer: By their bark.</br>Difficulty: Hard
44,Category: Animal Riddles</br>Question: What animal keeps the best time?</br>Answer: A Watchdog.</br>Difficulty: Easy
45,"Category: Animal Riddles</br>Question: To you, rude would I never be, Though I flag my tongue for all to see. What am I?</br>Answer: A dog!</br>Difficulty: Easy"
46,"Category: Animal Riddles</br>Question: There are 2 ducks in front of 2 other ducks. There are 2 ducks behind 2 other ducks. There are 2 ducks beside 2 other ducks. How many ducks are there?</br>Answer: Just four, in a square formation.</br>Difficulty: Easy"
47,Category: Animal Riddles</br>Question: What happened when the rubber duckie fell into the bathtub?</br>Answer: It quacked up.</br>Difficulty: Hard
48,Category: Animal Riddles</br>Question: What do you call a crate of ducks?</br>Answer: A box of quackers!</br>Difficulty: Medium
49,Category: Animal Riddles</br>Question: Arnold Schwarzenegger's is really long. Michael J. Fox's is short. Daffy Duck isn't human. Madonna doesn't have one. What am I?</br>Answer: The last name.</br>Difficulty: Hard
50,"Category: Animal Riddles</br>Question: A mouse, a squirrel, a duck, a chicken, and an elephant are sitting on the side of the road. Someone offers them a lift, but one prefers to stay. Who preferred to stay?</br>Answer: The Elephant Stayed. If you didn't know, elephants are scared of mice.</br>Difficulty: Hard"
51,"Category: Animal Riddles</br>Question: Two fathers and two sons went fishing one day. They were there the whole day and only caught 3 fish. One father said, that is enough for all of us, we will have one each. How can this be possible?</br>Answer: There was the father, his son, and his son's son. This equals 2 fathers and 2 sons for a total of 3!</br>Difficulty: Medium"
52,Category: Animal Riddles</br>Question: I am a word of six; my first three letters refer to an automobile; my last three letters refer to a household animal; my first four letters is a fish; my whole is found in your room. What am I?</br>Answer: A carpet.</br>Difficulty: Easy
53,Category: Animal Riddles</br>Question: There are two bodies on the floor. They are surrounded by water and broken glass. How did they die?</br>Answer: The bodies were goldfish because their fishbowl got knocked over onto the floor and broke.</br>Difficulty: Easy
54,"Category: Animal Riddles</br>Question: What has cities, but no houses; forests, but no trees; and water, but no fish?</br>Answer: A map.</br>Difficulty: Medium"
55,"Category: Animal Riddles</br>Question: If fish lived on land, where would they live?</br>Answer: In Finland.</br>Difficulty: Hard"
56,"Category: Animal Riddles</br>Question: A farmer has twenty sheep, ten pigs, and ten cows. If we call the pigs cows, how many cows will he have?</br>Answer: Ten Cows. We can call the pigs cows but it doesn't make them cows.</br>Difficulty: Medium"
57,Category: Animal Riddles</br>Question: What do you call pigs that write letters to each other?</br>Answer: Pen Pals.</br>Difficulty: Hard
58,"Category: Animal Riddles</br>Question: Why can't you play basketball with pigs?</br>Answer: Because they will ""hog"" the ball!</br>Difficulty: Hard"
59,Category: Animal Riddles</br>Question: Why did Momma Pig leave her husband?</br>Answer: Because he was a boar.</br>Difficulty: Easy
60,Category: Animal Riddles</br>Question: What do you call a pig that does karate?</br>Answer: A Porkchop.</br>Difficulty: Easy
61,"Category: Animal Riddles</br>Question: Do rabbits use combs?</br>Answer: No, they use hare brushes.</br>Difficulty: Medium"
62,Category: Animal Riddles</br>Question: How can you say rabbit without using the letter R?</br>Answer: Bunny.</br>Difficulty: Medium
63,Category: Animal Riddles</br>Question: How many hairs are in a bunny rabbit's tail?</br>Answer: None. They are all outside.</br>Difficulty: Easy
64,Category: Animal Riddles</br>Question: Where does a rabbit go for shampoo?</br>Answer: To a hare-dresser.</br>Difficulty: Medium
65,Category: Animal Riddles</br>Question: Who is never hungry during Christmas?</br>Answer: The turkey because he is always stuffed.</br>Difficulty: Easy
66,Category: Animal Riddles</br>Question: Why did they let the turkey join the thanksgiving band?</br>Answer: Because he had the drumsticks.</br>Difficulty: Easy
67,Category: Animal Riddles</br>Question: Why did the turkey cross the road?</br>Answer: To prove he wasn't chicken.</br>Difficulty: Medium
68,Category: Animal Riddles</br>Question: Why didn't the turkey finish its dessert?</br>Answer: Because it was stuffed.</br>Difficulty: Hard
69,Category: Animal Riddles</br>Question: What kind of key do you use on Thanksgiving?</br>Answer: A tur-key.</br>Difficulty: Medium
70,Category: Baseball Riddles</br>Question: What did the baseball glove say to the ball?</br>Answer: Catch you later.</br>Difficulty: Easy
71,Category: Baseball Riddles</br>Question: How do you know that a vampire loves baseball?</br>Answer: Because he turns into a bat every night.</br>Difficulty: Medium
72,Category: Baseball Riddles</br>Question: What animal is the best at baseball?</br>Answer: A bat.</br>Difficulty: Hard
73,"Category: Baseball Riddles</br>Question: A guy was waiting at home, he swung a metal pole then took 3 left turns, and on his way back home there was a masked man waiting for him. What is he doing and who is the masked man?</br>Answer: He is playing baseball and the masked man is the Catcher.</br>Difficulty: Medium"
74,"Category: Baseball Riddles</br>Question: Name the only sport in which the ball is always in possession of the team on defense, and the offensive team can score without touching the ball?</br>Answer: Baseball!</br>Difficulty: Medium"
75,Category: Baseball Riddles</br>Question: Why is the baseball field hot after a game?</br>Answer: All the fans left.</br>Difficulty: Hard
76,Category: Baseball Riddles</br>Question: Why did the baseball coach hire a piano player?</br>Answer: Because his player had the perfect pitch!</br>Difficulty: Medium
77,Category: Baseball Riddles</br>Question: Where do coal diggers play baseball?</br>Answer: The minor (miner) leagues.</br>Difficulty: Medium
78,Category: Baseball Riddles</br>Question: Why was the baseball player's food always dirty?</br>Answer: He always stepped on the plate.</br>Difficulty: Easy
79,Category: Baseball Riddles</br>Question: What was the spider doing on the baseball team?</br>Answer: Catching flies.</br>Difficulty: Medium
80,Category: Baseball Riddles</br>Question: What has 18 legs and catches flies?</br>Answer: A baseball team.</br>Difficulty: Easy
81,"Category: Baseball Riddles</br>Question: What song was the baseball player singing on third base?</br>Answer: ""There's no place like home.""</br>Difficulty: Medium"
82,Category: Baseball Riddles</br>Question: Why was the chef hired to coach the baseball team?</br>Answer: Because he knew how to handle batter.</br>Difficulty: Medium
83,Category: Baseball Riddles</br>Question: What position do pigs play on the baseball field?</br>Answer: Short-stop.</br>Difficulty: Medium
84,"Category: Baseball Riddles</br>Question: I play on a diamond, I play fair, I always get dirty, And then I run home. What Am I?</br>Answer: Baseball Player</br>Difficulty: Easy"
85,"Category: Baseball Riddles</br>Question: A man is running home, where he meets 2 men with masks on. Then he runs away from home. What is this man's job?</br>Answer: A baseball player. The 2 masked men are the umpire and the catcher.</br>Difficulty: Hard"
86,Category: Baseball Riddles</br>Question: Where do great dragon baseball players go?</br>Answer: To the Hall Of Flame.</br>Difficulty: Easy
87,Category: Baseball Riddles</br>Question: Why can't turtles play baseball?</br>Answer: They can't run home.</br>Difficulty: Hard
88,"Category: Baseball Riddles</br>Question: What's the first game in the Bible?</br>Answer: Baseball Why: because In the big inning, Eve stole first, and Adam stole second. Cain struck out Abel, and the Prodigal Son came home. The Giants and the Angels were rained out.</br>Difficulty: Medium"
89,Category: Baseball Riddles</br>Question: There was a man who everybody called Batman he knew nothing about bats and thought they were gross. He still loved it when people called him Batman! How could this be?</br>Answer: He was the star baseball player!</br>Difficulty: Medium
90,Category: Baseball Riddles</br>Question: Why don't chickens play baseball?</br>Answer: Because they hit fowl balls.</br>Difficulty: Hard
91,Category: Basketball Riddles</br>Question: What is a good restaurant for a basketball team?</br>Answer: Dunkin Donuts.</br>Difficulty: Hard
92,"Category: Basketball Riddles</br>Question: Why can't you play basketball with pigs?</br>Answer: Because they will ""hog"" the ball!</br>Difficulty: Easy"
93,"Category: Basketball Riddles</br>Question: A man takes a basketball and throws it as hard as he can. There is nothing in front, behind, or on either side of him, and yet, the ball comes back and hits him square in the face. How can this be?</br>Answer: He threw the ball straight up in the air.</br>Difficulty: Easy"
94,Category: Basketball Riddles</br>Question: What did the hoop say to the basketball?</br>Answer: May all your swishes come true!</br>Difficulty: Medium
95,Category: Basketball Riddles</br>Question: What do you call a basketball game with no ball?</br>Answer: A basket game!</br>Difficulty: Hard
96,"Category: Basketball Riddles</br>Question: In the NBA, how many men are on the basketball court for each team?</br>Answer: Five, not ten!</br>Difficulty: Easy"
97,"Category: Bathroom Riddles</br>Question: Why did Tigger go to the bathroom?</br>Answer: He wanted to find his friend, Pooh!</br>Difficulty: Medium"
98,"Category: Bathroom Riddles</br>Question: If two snakes marry, what will their towels say?</br>Answer: Hiss and Hers.</br>Difficulty: Easy"
99,Category: Bathroom Riddles</br>Question: I am wet when drying. What am I?</br>Answer: A towel.</br>Difficulty: Easy
100,Category: Bathroom Riddles</br>Question: What happened to Einstein when he took a shower?</br>Answer: He was brain-washed.</br>Difficulty: Medium
101,"Category: Bathroom Riddles</br>Question: If April showers bring may flowers, what do may flowers bring?</br>Answer: Pilgrims.</br>Difficulty: Hard"
102,Category: Bathroom Riddles</br>Question: On a fine sunny day a ship was in the harbor. All of a sudden the ship began to sink. There was no storm and nothing wrong with the ship yet it sank right in front of the spectator's eyes. What caused the ship to sink?</br>Answer: It was a Submarine.</br>Difficulty: Medium
103,Category: Bathroom Riddles</br>Question: What gets wetter the more it dries?</br>Answer: A towel.</br>Difficulty: Medium
104,"Category: Bathroom Riddles</br>Question: You go in me for brushing, For flushing, For rushing; But please go in me one at a time, Or someone might be blushing. What am I?</br>Answer: A bathroom.</br>Difficulty: Hard"
105,Category: Bathroom Riddles</br>Question: How can people without noses smell?</br>Answer: If they don't shower.</br>Difficulty: Easy
106,Category: Bathroom Riddles</br>Question: What do you call a tree that has been TP'ed?</br>Answer: A toiletry.</br>Difficulty: Hard
107,Category: Bathroom Riddles</br>Question: Why didn't the skeleton use a towel?</br>Answer: Because he always comes out bone dry.</br>Difficulty: Medium
108,Category: Bathroom Riddles</br>Question: Why do you never bring a Pokemon into the bathroom with you?</br>Answer: They might Pikachu (Peek at u)</br>Difficulty: Medium
109,"Category: Bathroom Riddles</br>Question: Which rock singer really, REALLY needs a shower?</br>Answer: Mud-donna.</br>Difficulty: Easy"
110,Category: Bathroom Riddles</br>Question: Why did the toilet paper roll down the hill?</br>Answer: To get to the bottom.</br>Difficulty: Hard
111,Category: Bathroom Riddles</br>Question: What does the Easter Bunny do after it takes a shower?</br>Answer: He uses a Hare dryer</br>Difficulty: Hard
112,Category: Bathroom Riddles</br>Question: Imagine you are on a sinking raft in the middle of the Pacific with great white sharks surrounding you. How do you stop this predicament?</br>Answer: Stop imagining!</br>Difficulty: Hard
113,Category: Bathroom Riddles</br>Question: Why did the prisoner take a shower before he broke out of jail?</br>Answer: He wanted to make a clean getaway</br>Difficulty: Medium
114,Category: Bathroom Riddles</br>Question: Why can't the toilet paper cross the road?</br>Answer: Because it got stuck in the crack.</br>Difficulty: Easy
115,"Category: Bathroom Riddles</br>Question: A farmer has never taken a shower in his life. He gets dirty every day, wears no cleansing scents, and is always clean at the end of the day. How is this possible?</br>Answer: The farmer takes a bath every day.</br>Difficulty: Medium"
116,Category: Bathroom Riddles</br>Question: The more you dry yourself with me the more I get wet. What am I?</br>Answer: A towel.</br>Difficulty: Easy
117,Category: Bathroom Riddles</br>Question: How can you make a needle float?</br>Answer: Take a thin piece of tissue paper and place the tissue paper under the needle before putting the needle in the water. The tissue paper will eventually sink and the needle will remain floating.</br>Difficulty: Hard
118,"Category: Bathroom Riddles</br>Question: When you are wet and it is dry and if you use it, it becomes wet but you're completely dry. What is it?</br>Answer: The towel.</br>Difficulty: Medium"
119,"Category: Bathroom Riddles</br>Question: Each day many people come and visit me, however, they usually only stay for a few minutes. I am considered by many to be very dirty yet few people would want to live without me. What am I?</br>Answer: A toilet.</br>Difficulty: Medium"
120,Category: Bathroom Riddles</br>Question: Why do criminals shower so often?</br>Answer: They like to make a clean getaway.</br>Difficulty: Medium
121,Category: Bathroom Riddles</br>Question: What do steel workers sing in the shower?</br>Answer: Heavy Metal.</br>Difficulty: Hard
122,Category: Bathroom Riddles</br>Question: What did one toilet say to the other?</br>Answer: You look a bit flushed.</br>Difficulty: Hard
123,Category: Bathroom Riddles</br>Question: What do you call a person who crosses the road twice without taking a shower?</br>Answer: A dirty double-crosser.</br>Difficulty: Hard
124,Category: Bathroom Riddles</br>Question: What do you call a ghost who ran out of toilet paper?</br>Answer: Sheet out of luck!</br>Difficulty: Medium
125,"Category: Bathroom Riddles</br>Question: A woman has three children: MoroEbi, MoroPet, and Laura. MoroPet is in the sitting room playing, Moroebi is in the bathroom taking his bath, and the woman is in the kitchen preparing dinner. In what room is Laura.</br>Answer: Laura is in WHAT ROOM. Didn't guess it right?</br>Difficulty: Medium"
126,Category: Bathroom Riddles</br>Question: How did the chimp fix the leaky faucet?</br>Answer: With a monkey wrench.</br>Difficulty: Hard
127,Category: Bathroom Riddles</br>Question: What do fathers sing in the shower?</br>Answer: Pop.</br>Difficulty: Hard
128,Category: Bathroom Riddles</br>Question: What does a toilet with a funny accent have?</br>Answer: Irritable vowel syndrome!</br>Difficulty: Medium
129,Category: Bathroom Riddles</br>Question: What kind of sandwich sinks to the bottom of the tub?</br>Answer: A submarine sandwich!</br>Difficulty: Medium
130,Category: Bathroom Riddles</br>Question: Why did the shower bar turn red?</br>Answer: Its towel fell off.</br>Difficulty: Easy
131,Category: Bathroom Riddles</br>Question: What does a newspaper reporter use to dry himself after his shower?</br>Answer: Paper towels.</br>Difficulty: Medium
132,Category: Bathroom Riddles</br>Question: What do bumblebees sing in the shower?</br>Answer: BeeBop.</br>Difficulty: Hard
133,Category: Bathroom Riddles</br>Question: What do computer programmers sing in the shower?</br>Answer: Disc-o.</br>Difficulty: Easy
134,"Category: Bathroom Riddles</br>Question: On a fine sunny day, a ship was in the harbor. All of a sudden the ship began to sink. There was no storm and nothing wrong with the ship yet it sank right in front of the spectators' eyes. What caused the ship to sink?</br>Answer: The ""Submarine"" Captain ordered the crew to dive.</br>Difficulty: Hard"
135,"Category: Bathroom Riddles</br>Question: What did the faucet say to the shower?</br>Answer: ""You're a big drip.""</br>Difficulty: Hard"
136,Category: Bathroom Riddles</br>Question: What do angels sing in the shower?</br>Answer: Soul.</br>Difficulty: Easy
137,Category: Bathroom Riddles</br>Question: Why did Silly Sarah race to the bathroom?</br>Answer: Her boyfriend told her he'd left a ring in the tub.</br>Difficulty: Easy
138,"Category: Bathroom Riddles</br>Question: Four men were in a boat on the lake. The boat turns over, and all four men sink to the bottom of the lake, yet not a single man got wet! Why?</br>Answer: Because they were all married and not single.</br>Difficulty: Hard"
139,"Category: Bathroom Riddles</br>Question: If someone robbed you in the shower, what would you be?</br>Answer: An eye wetness.</br>Difficulty: Medium"
140,Category: Bathroom Riddles</br>Question: What do goblins sing in the shower?</br>Answer: Rhythm and boos.</br>Difficulty: Hard
141,"Category: Bear Riddles</br>Question: Why did Tigger go to the bathroom?</br>Answer: He wanted to find his friend, Pooh!</br>Difficulty: Easy"
142,Category: Bear Riddles</br>Question: What do you call a bear with no teeth?</br>Answer: A gummy bear.</br>Difficulty: Medium
143,Category: Bear Riddles</br>Question: Why couldn't Goldilocks sleep?</br>Answer: Because of night-bears.</br>Difficulty: Easy
144,Category: Bear Riddles</br>Question: Why are teddy bears never hungry?</br>Answer: Because they are stuffed.</br>Difficulty: Hard
145,"Category: Bear Riddles</br>Question: A man builds a house with all 4 sides facing south. A bear walks past the house. What color is the bear?</br>Answer: White, the house is built directly on the North Pole.</br>Difficulty: Medium"
146,Category: Bear Riddles</br>Question: What do you call a bear with no ear?</br>Answer: A b!</br>Difficulty: Medium
147,Category: Bear Riddles</br>Question: When are boys like bears?</br>Answer: When bare-footed.</br>Difficulty: Hard
148,Category: Bear Riddles</br>Question: What did the panda ghost say?</br>Answer: Bambooooooo.</br>Difficulty: Hard
149,Category: Bear Riddles</br>Question: What type of Martial Arts does Winnie the Pooh do?</br>Answer: Kung Pooh.</br>Difficulty: Medium
150,Category: Bear Riddles</br>Question: How do you spell the word 'Panda' in two letters?</br>Answer: P and A P(and)a.</br>Difficulty: Easy
151,Category: Bear Riddles</br>Question: What do you call a little bear who never takes a bath?</br>Answer: Winnie-the-Phew!</br>Difficulty: Medium
152,Category: Bear Riddles</br>Question: What did the zombie bring to bed?</br>Answer: A deaddy bear.</br>Difficulty: Easy
153,Category: Bear Riddles</br>Question: What do you call a polar bear at the beach?</br>Answer: Sandy Claws!</br>Difficulty: Hard
154,Category: Bear Riddles</br>Question: What did the koala say to the bear on the phone?</br>Answer: I¡¯ll koala you later.</br>Difficulty: Hard
155,Category: Bear Riddles</br>Question: What do you call a bear which is fast asleep?</br>Answer: Bearly awake!</br>Difficulty: Hard
156,Category: Bear Riddles</br>Question: Don't look a gift horse in the mouth. What is the contradictory proverb?</br>Answer: Beware of Greeks bearing gifts.</br>Difficulty: Easy
157,Category: Bear Riddles</br>Question: What kind of animal can do Kung fu?</br>Answer: Kung fu pandas!</br>Difficulty: Medium
158,"Category: Bear Riddles</br>Question: What do kids, worms, bears, fish, and rings all have in common?</br>Answer: They are GUMMIES!</br>Difficulty: Easy"
159,Category: Bear Riddles</br>Question: Why kind of entertainment does Yosemite National Park have?</br>Answer: Bear-itones.</br>Difficulty: Hard
160,"Category: Bear Riddles</br>Question: How are people like animals?</br>Answer: We have bare (bear) feet, frogs in our throats, calves on our legs, and bulls on our tongues.</br>Difficulty: Medium"
161,Category: Beast Riddles</br>Question: In a tunnel of darkness lies a beast of iron. It can only attack when pulled back. What is it?</br>Answer: A bullet.</br>Difficulty: Medium
162,"Category: Beast Riddles</br>Question: Face with a tree, skin like the sea. A great beast I am, yet vermin frightens me. What am I?</br>Answer: An Elephant.</br>Difficulty: Easy"
163,"Category: Beast Riddles</br>Question: Stronger than any beast, Rougher than any sea. Steadier than a favorable wind, and of me, none shall be free. What am I?</br>Answer: I am Earth.</br>Difficulty: Medium"
164,"Category: Beast Riddles</br>Question: This thing all things devours: Birds, beasts, trees, flowers; Gnaws iron, bites steel; Grinds hard stones to meal; Slays king, ruins town, And beats high mountain down. What am I?</br>Answer: Time!</br>Difficulty: Hard"
165,"Category: Beast Riddles</br>Question: I'm alive and I die. When cut, I bleed I do not fear the seasons. I make my home above yet below the land. I'm a friend to man and beast, yet hunted by both. My bones are always within sight. What am I?</br>Answer: A Tree.</br>Difficulty: Hard"
166,Category: Beast Riddles</br>Question: My head and the point are made from the same. I am held by what's taken apart from the grain. I am atop of a great ocean beast. My swing will let fire and lead release. What am I?</br>Answer: A hammer.</br>Difficulty: Hard
167,"Category: Beast Riddles</br>Question: As a whole, I am both safe and secure. Behead me, and I become a place of meeting. Behead me again, and I am the partner of ready. Restore me, and I become the domain of beasts. What am I?</br>Answer: Stable.</br>Difficulty: Hard"
168,"Category: Beast Riddles</br>Question: Where is there no south, west, nor east, and weather is not fit for man or beast?</br>Answer: The South Pole.</br>Difficulty: Medium"
169,"Category: Bird Riddles</br>Question: There are 30 cows in a field, and 28 chickens. How many didn't?</br>Answer: 10. Listen closely: 30 cows and twenty-eight chickens. Say EIGHT and ATE. They sound the same. Therefore, it means 20 ATE chickens. 30-20=10, so 10 cows didn't eat any chickens.</br>Difficulty: Easy"
170,"Category: Bird Riddles</br>Question: It has a long neck, a name of a bird, feeds on ships cargo, and is not alive. What is it?</br>Answer: A crane.</br>Difficulty: Hard"
171,"Category: Bird Riddles</br>Question: Which bird does not belong in this group? Finch, gull, eagle, ostrich, or sparrow?</br>Answer: The Ostrich. It's the only bird that doesn't fly.</br>Difficulty: Medium"
172,"Category: Bird Riddles</br>Question: There are 2 ducks in front of 2 other ducks. There are 2 ducks behind 2 other ducks. There are 2 ducks beside 2 other ducks. How many ducks are there?</br>Answer: Just four, in a square formation.</br>Difficulty: Hard"
173,Category: Bird Riddles</br>Question: Why did the turkey cross the road?</br>Answer: To prove he wasn't chicken.</br>Difficulty: Hard
174,"Category: Bird Riddles</br>Question: If a chicken says, ""All chickens are liars"". Is the chicken telling the truth?</br>Answer: Answer: Chickens cannot talk.</br>Difficulty: Medium"
175,Category: Bird Riddles</br>Question: I'm the part of the bird that's not in the sky. I can swim in the ocean and yet remain dry. What am I?</br>Answer: A shadow.</br>Difficulty: Medium
176,Category: Bird Riddles</br>Question: Why did the scarecrow win so many awards?</br>Answer: He was out-standing in his field!</br>Difficulty: Easy
177,Category: Bird Riddles</br>Question: What bird is always out of breath?</br>Answer: A puffin.</br>Difficulty: Easy
178,"Category: Bird Riddles</br>Question: If it takes 5 microwaves and 5 minutes to cook 5 chickens, how long does it take 100 microwaves to cook 100 chickens?</br>Answer: 5 minutes. We can assume that one chicken is placed in each microwave and that each chicken takes 5 minutes to cook.</br>Difficulty: Easy"
179,"Category: Bird Riddles</br>Question: I'm like a doll, But I'm not for playing; I stand up straight, but if windy I may be laying; I'm well-known and famous for having no brain; I work outside both day and night in sunshine or in rain. What am I?</br>Answer: A Scarecrow.</br>Difficulty: Medium"
180,"Category: Bird Riddles</br>Question: What was never scared but became petrified, can't make a bird but can make a bat, can't live in a house but would die to have one. What is it?</br>Answer: A tree.</br>Difficulty: Easy"
181,"Category: Bird Riddles</br>Question: Why do chickens lay eggs?</br>Answer: Because if they drop them, they will break.</br>Difficulty: Easy"
182,"Category: Bird Riddles</br>Question: What's 3/7 chicken, 2/3 cat, and 2/4 goat?</br>Answer: Chicago. The first three words out of seven of chicken is CHI, the first two words out of 3 of cat is CA, and the first two words out of goat is GO. Therefore making, (CHI)(CA)(GO).</br>Difficulty: Hard"
